ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783966372312; 3966372312,Märchen und Erzählungen,1. Auflage,Hamburg,Gröls Verlag,2019,96,,,,"Wilde, Oscar",,"Lyrik, Dramatik",ger,
9783966372329; 3966372320,Märchen und Erzählungen,1. Auflage,Hamburg,Gröls Verlag,2019,96,,,,"Wilde, Oscar",,Dramatik,ger,
9786069880418,Mariendorf,,Temeswar,Cosmopolitan Art Verlag,2019,149,"Waitz, Balthasar",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783748579854; 3748579853,maritime gelbe Reihe bei Jürgen Ruszkowski/Erinnerungen an die Seefahrt damals - Anthologie,2. Auflage,Berlin,epubli,2019,328,"Feith, Emil","Ruszkowski, Jürgen",,,,Romanhafte Biographien,ger,
9783746024356; 3746024358,"Matoke, Mangos und Moskitos",1. Auflage,Norderstedt,Books on Demand,2019,208,,,,"Schwidergall, Johanna Maria",,Romanhafte Biographien,ger,
9783734788826; 373478882X,Mein Erbe wirkt in mir,1. Auflage,Norderstedt,BoD – Books on Demand,2019,76,,,,"Dillenburg, Christel",,Lyrik,ger,
9783750420618; 3750420610,Meine schönen Kleider,1. Auflage,Norderstedt,BoD – Books on Demand,2019,258,,,,"Hölscher, Anna-Katharina",,Romanhafte Biographien,ger,
9783748538332; 3748538332,Mok mol Börgermeester,1. Auflage,Berlin,epubli,2019,200,,,,"Jennrich, Jörg",,Romanhafte Biographien,ger,
9783748523802; 3748523807,Mok mol Börgermeester,1. Auflage,Berlin,epubli,2019,200,,,,"Jennrich, Jörg",,Romanhafte Biographien,ger,
9783766626356; 3766626353,Muckefuck und Bohnenkaffee,"1. Auflage, Großdruckausgabe",Kevelaer,Butzon & Bercker,2019,144,"Dopatka, Renate",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783748546740; 3748546742,Mystische Welten,4. Auflage,Berlin,epubli,2019,72,,,,"Seifert, Elke; Yuva, Anja",,"Lyrik, Dramatik",ger,
9783735737175; 373573717X,Nachts flogen die Gomuli,3. Auflage,Norderstedt,BoD – Books on Demand,2019,184,,,,"Ruf, Joachim",,Lyrik,ger,
9783749430253; 374943025X,Oh je - ein Golfspieler!,5. Auflage,Norderstedt,BoD – Books on Demand,2019,104,,,,"Salzmann, Hartmut",,Lyrik,ger,
9783749407941; 3749407940,Schicksalswege,1. Auflage,Norderstedt,Books on Demand,2019,140,,,,"Seherin, Waldseelen",,Lyrik,ger,
9783748519287; 3748519281,Schizzo!,1. Auflage,Berlin,epubli,2019,40,,,,"Blume, Barbara",,"Lyrik, Dramatik",ger,
9783749428021; 3749428026,Shortstories von Tara D,1. Auflage,Norderstedt,BoD – Books on Demand,2019,88,,,,"Tiedt, Claudia",,Lyrik,ger,
9783761563809,"So hatte Gott sich das gedacht und fand: ""Das hab ich gut gemacht""",2. Auflage,Neukirchen-Vluyn,Neukirchener Verlagsgesellschaft,2019,155,"Wolf, Christoph",,,,,Anthologie; Lyrik,ger,
