ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783717522584,Mr. Harrisons Bekenntnisse,,Zürich,Manesse-Verl.,2010,371,"Gaskell, Elizabeth Cleghorn",,"Ott, Andrea",,,,ger,eng
9783423139281,Mütter und Söhne,,München,Dt. Taschenbuch-Verl.,2010,283,"Tóibín, Colm",,"Bandini, Giovanni; Bandini, Ditte","Tóibín, Colm",,Anthologie; Anthologie,ger,eng
9783596179824,Muntere Geschichten für müde Menschen,,"Frankfurt, M.",Fischer-Taschenbuch-Verl.,2010,254,"Gellhorn, Martha",,"Mandelkow, Miriam","Gellhorn, Martha",,,ger,eng
9783941668027,Nachdenkliche Geschichten,,Berlin,Brünne,2010,215,"Yılmaz, Hasan",,"Taxidis, Ingrid",,,Anthologie; Anthologie,ger,tur
9783518461945,Nachts kommen die Füchse,1. Aufl.,Berlin,Suhrkamp,2010,152,"Nooteboom, Cees",,"Beuningen, Helga van","Nooteboom, Cees",,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,dut
9783927069985,Nachts unterm Jasmin,,Mainz,Kinzelbach,2010,163,"Bey, Maïssa",,"Belakhdar, Christine","Bey, Maïssa",,,ger,fre
9783899417982,Perlen der Leidenschaft,"Dt. Erstveröff., 1. Aufl.",Hamburg,Cora-Verl.,2010,542,,,"Winter, Jule",,"Bacarr, Jina; Bradley, Eden; Hart, Megan; McCarty, Sarah",,ger,eng
9783453526396,Ravenor,Dt. Erstausg.,München,Heyne,2010,1408,"Abnett, Dan",,"Jentzsch, Christian","Abnett, Dan",,,ger,eng
9783293204768,Reise nach Indonesien,,Zürich,Unionsverl.,2010,189,,"Leitess, Lucien",,,,Anthologie; Anthologie,ger,mul
9783293205086,Reise nach Kanada,,Zürich,Unionsverl.,2010,220,,"Burger, Anke Caroline",,,,Anthologie; Anthologie,ger,mul
9783630621807,Römische Erzählungen,1. Aufl.,München,Luchterhand-Literaturverl.,2010,476,"Moravia, Alberto",,"Killisch-Horn, Michael von","Moravia, Alberto",,Anthologie; Anthologie,ger,ita
9783862600014,"Rom, andere Stadt",1. Aufl.,Hamburg,Corso,2010,111,"Pasolini, Pier Paolo",,"Kopetzki, Annette; Prammer, Theresia",,"List, Herbert; Dieckmann, Dorothea",Bildband; Anthologie; Bildband; Anthologie,ger,ita
9783518461884,Rückkehr aus der Nacht,1. Aufl.,Berlin,Suhrkamp,2010,264,"Cortázar, Julio",,"Wittkopf, Rudolf","Cortázar, Julio",,,ger,spa
9783150202043,Russische Erzählungen,,Stuttgart,Reclam,2010,410,,"Graf, Christian",,,"Puškin, Aleksandr Sergeevič; Pelevin, Viktor",Anthologie; Anthologie,ger,rus
9783518461914,Sackgasse mit Ausgang,"Dt. Erstausg., 1. Aufl.",Berlin,Suhrkamp,2010,149,"Osorio, Elsa",,"Gerhold, Stefanie","Osorio, Elsa",,,ger,spa
9783926082398,Salziger Kaffee,,Berlin,Gedenkstätte Dt. Widerstand,2010,235,,,,"Pécsi-Pollner, Katalin","Pécsi-Pollner, Katalin",,ger,eng; hun
9783798604209,Sammelband dreier Klassiker erotischer Literatur,"Sondered., 1. Aufl.",Flensburg,Stephenson,2010,398,,,,,"Effendi, Màhmed Ben Chérif; Droz, Eduard; Musset, Alfred de",,ger,fre
9783442370535,Scharf und zügellos,"Dt. Erstveröff., 1. Aufl.",München,Blanvalet,2010,271,,"Sharp, Kerri","Müller, Claudia",,,,ger,eng
9783935535243,Schatten der Zeit,Orig.-Ausg.,"Frankfurt, M.",Literaturca-Verl.,2010,199,"Bengi, Yiğit Değer",,"Caner, Beatrix","Bengi, Yiğit Değer",,,ger,tur
9783100744388,Schiffe aus Feuer,,"Frankfurt, M.",S. Fischer,2010,415,,"Strausfeld, Michi",,,,Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,spa
9783905950045,Second life,"Dt. Erstausg., 1. Aufl.",Basel,Lisan-Verl.,2010,87,"Ǧabrī, Ḫālid al-",,,,,,ger,ara
9783100422040,Seiōbo auf Erden,,"Frankfurt, M.",S. Fischer,2010,461,"Krasznahorkai, László",,"Flemming, Heike","Krasznahorkai, László",,,ger,hun
9783950289039,Session,"Orig.-Ausg., 2. Aufl.",Wien,Songdog-Verl.,2010,83,"Fitzgerald, Mick",,"Haefs, Gabriele",,,,ger,eng
9783868007930,Solange du mich siehst,,Augsburg,Weltbild,2010,112,"Ahern, Cecelia",,"Strüh, Christine",,,,ger,eng
9783150080900,Stadtführer Berlin,"Lizenzausgabe, Nachdruck",Stuttgart,Philipp Reclam jun.,2010,86,"Nabokov, Vladimir Vladimirovič",,"Zimmer, Dieter E.",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783869300788,Tanz der Dienstmädchen,1. Aufl.,Göttingen,Steidl,2010,232,"Brennan, Maeve",,"Oeser, Hans-Christian","Brennan, Maeve",,Anthologie; Anthologie,ger,eng
