ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,Mitgehorcht - Mitgeschrieben,,Großebersdorf,Buchschmiede,2023,,"Stanzel, Fritz",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
,Momentaufnahmen,,Erftstadt,Rose-Marie Merten,2023,42,"Merten, Rose-Marie",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Nicht irgendein Adventskalender,,Buchholz,meer! Karin Buchholz,2023,50,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Pfiffikus Pfeffernuss,,Berumbur,Marilu-Verlag,2023,492,"Wolf, Marion",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Rondo Sammelband,Deutsche Erstausgabe,Berlin,Stefan Barth,2023,2,"Barth, Stefan",,,,,Fiktionale Darstellung; Spannung,ger,
,Sagenhafte Burger Hof Geschichten,,Bruneck,Schulverbund Pustertal,2023,83,,"Sparber, Karin",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Sehr kurze Geschichten,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,,ger,
,Seltsame und phantastische Erzählungen von 1926 bis 1933,,Neustadt in Sachsen,Dunkelgestirn,2023,2,"Am Bruhl, Leo",,,,,Fiktionale Darstellung; Fantastische Literatur,ger,
,Special Event - venezianischer Maskenball,,Mühltal,Cleo Rivers c/o Gwendolyn Wynter Autorenimpressum,2023,94,"Rivers, Cleo",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Special Event - Weihnachtsauktion,,Mühltal,Cleo Rivers c/o Gwendolyn Wynter Autorenimpressum,2023,74,"Rivers, Cleo",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Sturz,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Such relief,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Teppiche,1. Aufl.,Wetzlar,Phantastische Bibliothek,2023,75,"Riescher, Bianca M.",,,,,Fiktionale Darstellung; Fantastische Literatur,ger,
,Tierisch gute Freunde,,Halle (Saale),Mitteldeutscher Verlag,2023,56,,,,,,Anthologie; Gemischte Anthologien,ger,
,Traumfrau wider Willen,Erste Auflage,"Bad Aibling, Deutschland",Stina Milner,2023,572,"Milner, Stina",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Ungebunden,,Potsdam,Albrecht Walter,2023,232,"Walter, Albrecht",,,,"Walter, Albrecht",Bildband,ger,
,Wasted bodies,,Sattledt,Dr. Elmar Oberegger,2023,64,"Stifter, Elobert",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Welche Erleichterung,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Wenn das große Wozu das kleine Warum trifft,1. Auflage,Leipzig,Oeverbos Verlag,2023,152,,"Leithold, Katrin",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,"Willi, Wischmopp, Weihnachten",1. Auflage,Wegberg,SiebenSchreiber,2023,108,,,,,,Anthologie; Gemischte Anthologien,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Woodside stories,,Raa-Besenbek,Lovemoon Verlag,2023,,"Rhodes, Anna K.",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Ymir - Erzählungen,,Nürnberg,ICHverlag Häfner & Häfner,2023,16,,,,,"Häfner, Johannes",Bildband,ger,
,Ymir - Erzählungen,,Nürnberg,ICHverlag Häfner & Häfner,2023,20,,,,,"Häfner, Johannes",Bildband,ger,
,Ymir - Erzählungen,,Nürnberg,ICHverlag Häfner & Häfner,2023,2,,,,,"Häfner, Johannes",Pressendruck,ger,
,Zarenthron Geschichten,,Wüstenrot,ASTALTOONS,2023,80,"Astalos, I.; Tischler, Hans",,,,,"Comic; Humor, Satire",ger,
,Zauberhafte Geschichten zur Weihnacht,,Kevelaer,Lahn-Verlag,2023,,,,,,,Geschenkbücher,ger,
,Zeichen setzen,,Halle (Saale),Mitteldeutscher Verlag,2023,64,,"Orlac, Sebastian",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Zwei fremde Augen,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,2023,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Abseits der Geographie,Originalveröffentlichung,Neustadt in Sachsen,Dunkelgestirn,2022,366,,"Dangel, Lars",,,,Anthologie; Fantastische Literatur,ger,
,Animale fantasticotto e altre storie meravigliose,,Vicosprano,Biennale Bregaglia c/o Progetti darte in Val Bregaglia,2022,32,,,,,"Ciapponi, Lilia",Anthologie; Erzählende Literatur: Anthologien,ger; ita,ita
,Anthologie 2022,,Berlin,Fakriro GbR,2022,,,"Schuh, Sabrina",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Aventuria - Mythische Geschichten Box,,Waldems,Ulisses Medien und Spiel Distribution GmbH,2022,196,"Lonsing, Christian; Plötz, Markus; Grimme, Alexander",,,,,Fantasy,ger,
,Berge des Wahnsinns,,München,Heyne,2022,2,"Lovecraft, H. P.",,"Hermstein, Rudolf",,"Baranger, François",Fiktionale Darstellung; Horror,ger,eng
,Bilderbuch,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Bittersüße Wirklichkeiten,,Vechta,Geest-Verlag,2022,2,,"Behechti, Marianne; Daum, Linda; Egger, Doris; Flieder, Kira; Witzlau, Inge; Büngen, Alfred",,,,"Anthologie; Unterhaltung, Gemischte Anthologien",ger,
,black stories Das Spiel,2. Auflage,Kempen,moses Verlag,2022,,"Brand, Inka; Brand, Markus",,,,"Streese, Folko; Köhrsen, Andrea","Krimis, Thriller, Spionage",ger,
,Bone Hunters Sammelband,,Leipzig,Juli van Winter,2022,702,,,,"Winter, Juli van",,Fiktionale Darstellung; Erzählende Literatur,ger,
,Brücken,,Bochum,Eigenverlag,2022,194,"Rinke, Helmut",,,,,Anthologie; Gemischte Anthologien,ger,
,Danketag,,Buchholz,meer! Karin Buchholz,2022,11,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Das Buch der verschollenen Geschichten,Ausgabe in der Reihe Hobbit Presse Paperback,Stuttgart,Klett-Cotta,2022,2,"Tolkien, J. R. R.","Tolkien, Christopher","Schütz, Hans J.",,,Anthologie; Fantasy,ger,eng
,Das Kunstmuseum,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Das überirdische Grillfest,,Rothenburg,Bernhard Karlstetter,2022,296,"Karlstetter, Bernhard",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Das Vergehen,,Ludwigshafen,Spatz,2022,139,"Godal, Kim",,,"Godal, Kim; Godal, Kim",,Fiktionale Darstellung; Erzählende Literatur,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der Obelisk,,Leipzig,Nadja Lanart,2022,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Der Türspion,,Rothenburg,Bernhard Karlstetter,2022,261,"Karlstetter, Bernhard",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Der vorletzte Weihnachtsbaum,,Buchholz,meer! Karin Buchholz,2022,34,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Der weiße Pfau von Eeksol und andere seltsame Geschichten,,Bad Bentheim,Privatdruck Manfred Petry,2022,162,"Oberg, F. C.","Petry, Manfred",,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Die Netto-Liga (gegen jede Regel): unglaubliche Geschichten aus dem bergischen Städtedreieck,,Solingen,Ruth Broucq,2022,195,"Broucq, Ruth",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die Villa in der Munckelstraße,Erste Auflage,Gelsenkirchen,Selbstverlag,2022,199,"Oetjen, Almut",,,,"Oetjen, Almut",Fiktionale Darstellung; Erzählende Literatur,ger,
,Dinggeschichten,,Hagen,Hagen University Press,2022,,,"Zeman, Mirna",,,,Anthologie; Historische Romane und Erzählungen,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Ein Blumenstrauß mit Kerzen drauf,"Zweite, erweiterte Auflage",Gundelfingen,Dietrich Jeske,2022,56,"Jeske, Dietrich",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
