ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783896503633; 9783896503633,Faksimile Edition,3. Aufl.,Stamsried,Vögel,2013,28,"Lauerer, Toni",,,,,,ger,
9783896503633; 9783896503633,Faksimile Edition,2. Aufl.,Stamsried,Vögel,2013,31,"Lauerer, Toni",,,,,,ger,
9783896503633; 9783896503633,Faksimile Edition,2. Aufl.,Stamsried,Vögel,2013,39,"Lauerer, Toni",,,,,,ger,
9783896503633; 9783896503633,Faksimile Edition,2. Aufl.,Stamsried,Vögel,2013,35,"Lauerer, Toni",,,,,,ger,
9783896503633; 9783896503633,Faksimile Edition,2. Aufl.,Stamsried,Vögel,2013,36,"Lauerer, Toni",,,,,,ger,
9783730600382; 3730600389,Goldrausch in Alaska,,Köln,Anaconda,2013,256,"London, Jack",,"Schnierle-Lutz, Herbert","London, Jack",,Erzählende Literatur,ger,eng
9783934634251,Humor in der Kirche,"4., verb. und korrigierte Aufl.",Mannheim,Azur,2013,254,,"Roland, Oliver",,,,"Anthologie; Anthologie; Humor, Satire",ger,
9783944201177,Ich bin Ausländer und das ist auch gut so,1. Aufl.,Bremen,Sujet-Verl.,2013,157,"Falakī, Maḥmūd",,,,,Erzählende Literatur: Anthologien,ger,
9783150180396,Reitergeschichte und andere Erzählungen,,Stuttgart,Reclam,2013,80,"Hofmannsthal, Hugo von",,,,,Erzählende Literatur: Hauptwerk vor 1945,ger,
9783730600382; 3730600389,Ruf der Wildnis,,Köln,Anaconda,2013,128,"London, Jack",,"Samland, Bernd","London, Jack",,Erzählende Literatur,ger,eng
9783863652951,Sherlock Holmes,,Augsburg,Weltbild,2013,495,"Doyle, Arthur Conan",,"Haefs, Gisbert",,,,ger,eng
9783863652951,Sherlock Holmes,,Augsburg,Weltbild,2013,407,"Doyle, Arthur Conan",,"Stingl, Nikolaus",,,,ger,eng
9783863652951,Sherlock Holmes,,Augsburg,Weltbild,2013,536,"Doyle, Arthur Conan",,"Schmitz, Werner",,,,ger,eng
9783863652951,Sherlock Holmes,,Augsburg,Weltbild,2013,350,"Doyle, Arthur Conan",,"Giger, Leslie",,,,ger,eng
9783863652951,Sherlock Holmes,,Augsburg,Weltbild,2013,414,"Doyle, Arthur Conan",,"Wolf, Hans",,,,ger,eng
9783730600382; 3730600389,Wolfsblut,,Köln,Anaconda,2013,254,"London, Jack",,"Fuchs, Isabelle","London, Jack",,Erzählende Literatur,ger,eng
9783869291086,Affenschande,,Cottbus,Regia-Verl.,2012,170,"Schatte, Hartmut",,,,,Anthologie; Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,
