"person_id","person_name","debut_year","debut_segment","age_at_debut","under_30"
"P4288","Feder, Fritz",2017,"B",68,False
"P4289","Federer, Heinrich",2018,"B",152,False
"P4290","Federer, Yannic Han Biao",2019,"LW",33,False
"P4291","Federkeil, Jutta",2008,"B",52,False
"P4292","Federmair, Leopold",2009,"B",52,False
"P4293","Federspiel, Maurus",2018,"B",44,False
"P4295","Fee",2020,"B",26,True
"P4296","Feger, Claudia",2008,"B",30,False
"P4298","Fegers, Markus",2011,"B",56,False
"P43","Abdulah-Müller, Annelies",2008,"B",29,True
"P4301","Fehlemann, Harry",2023,"B",NULL,NULL
"P4302","Fehler, Andreas",2019,"B",47,False
"P4305","Fehlmann, Peter",2012,"B",NULL,NULL
"P4306","Fehn, Oliver",2013,"B",53,False
"P4307","Fehr, Michael",2014,"LW",32,False
"P4308","Fehr, Ursula",2015,"B",75,False
"P431","Anton, Anna",2013,"B",68,False
"P4316","Feifar, Ulrike",2018,"B",61,False
"P4317","Feike, Lisa-Maria",2022,"B",NULL,NULL
"P432","Anton, Laura",2021,"LW",NULL,NULL
"P4320","Feil, Pamela",2015,"B",NULL,NULL
"P4323","Feiler, Tanja",2018,"B",NULL,NULL
"P4324","Feimer, Isabella",2014,"B",38,False
"P4325","Feinig, Stefan",2015,"B",28,True
"P4326","Feischen, Christian",2008,"B",40,False
"P4327","Feist-Merhaut, Katharina",2020,"B",30,False
"P4328","Feit, Anik",2020,"B",59,False
"P4329","Feix, Eva Ola",2022,"B",NULL,NULL
"P433","Anton, Uwe",2008,"B",52,False
"P4330","Feix, Ingrid",2016,"B",66,False
"P4331","Fekter, Tony",2013,"B",NULL,NULL
"P4332","Felbeck, Christine",2008,"B",NULL,NULL
"P4334","Felber, Hartmut",2022,"B",NULL,NULL
"P4335","Feld, Julia",2019,"B",38,False
"P4337","Feldes, Roderich",2012,"B",66,False
"P4339","Feldhoff, Heiner",2022,"B",77,False
"P434","Antonette, Yessica",2023,"B",NULL,NULL
"P4341","Feldler, Renate",2010,"B",47,False
"P4342","Feldmann, Annette",2014,"LW",39,False
"P4345","Feldmann, Else",2009,"B",125,False
"P4348","Feldtmann, Susanne",2011,"B",49,False
"P4349","Felgentreff, Nadine",2021,"B",35,False
"P435","Antoni, Beatrix",2023,"B",51,False
"P4350","Felis, Aurata",2012,"OP",17,True
"P4352","Feller, Christoph",2023,"B",NULL,NULL
"P4353","Feller, Isabel, Isabel",2023,"B",NULL,NULL
"P4356","Fellner, Jo L.",2018,"B",NULL,NULL
"P4357","Fellner, Raimund",2021,"B",64,False
