konsekr_id;jahr;preis;autor_name;person_id;buch
k72;2023;Georg-Büchner-Preis;Seiler, Lutz;P16567;
k129;2014;Deutscher Buchpreis;Seiler, Lutz;P16567;Kruso
k70;2021;Georg-Büchner-Preis;Setz, Clemens J.;P16625;
k103;2009;SL Deutscher Buchpreis;Setz, Clemens J.;P16625;Die Frequenzen
k120;2012;SL Deutscher Buchpreis;Setz, Clemens J.;P16625;Indigo
k221;2020;Kleist-Preis;Setz, Clemens J.;P16625;
k48;1999;Georg-Büchner-Preis;Stadler, Arnold;P17121;
k210;2009;Kleist-Preis;Stadler, Arnold;P17121;
k84;2006;SL Deutscher Buchpreis;Stanišić, Saša;P17161;Wie der Soldat das Grammofon repariert
k159;2019;Deutscher Buchpreis;Stanišić, Saša;P17161;Herkunft
k38;1989;Georg-Büchner-Preis;Strauß, Botho;P17534;
k116;2011;SL Deutscher Buchpreis;Streeruwitz, Marlene;P17553;Die Schmerzmacherin
k171;2021;Deutscher Buchpreis;Strubel, Antje Rávik;P17605;Blaue Frau
k93;2008;Deutscher Buchpreis;Tellkamp, Uwe;P17926;Der Turm
k85;2006;SL Deutscher Buchpreis;Trojanow, Ilija;P18284;Der Weltensammler
k30;1981;Georg-Büchner-Preis;Walser, Martin;P18934;
k86;2006;SL Deutscher Buchpreis;Walser, Martin;P18934;Angstblüte
k109;2010;SL Deutscher Buchpreis;Wawerzinek, Peter;P19031;Rabenliebe
k165;2020;Deutscher Buchpreis;Weber, Anne;P19040;Annette, ein Heldinnenepos
k146;2016;SL Deutscher Buchpreis;Winkler, Philipp;P19662;Hool
k135;2015;Deutscher Buchpreis;Witzel, Frank;P19775;Die Erfindung der Roten Armee Fraktion durch einen manisch-depressiven Teenager im Sommer 1969
k29;1980;Georg-Büchner-Preis;Wolf, Christa;P19829;
k110;2010;SL Deutscher Buchpreis;Zander, Judith;P20103;Dinge, die wir heute sagten
k122;2012;SL Deutscher Buchpreis;Ziegler, Ulf Erdmann;P20218;Nichts Weißes
k92;2007;SL Deutscher Buchpreis;von Steinaecker, Thomas;P20603;Wallner beginnt zu fliegen
k71;2022;Georg-Büchner-Preis;Özdamar, Emine Sevgi;P20638;
k205;2004;Kleist-Preis;Özdamar, Emine Sevgi;P20638;
k185;2023;SL Deutscher Buchpreis;Öziri, Necati;P20642;Vatermal
