"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P18535","Vonlanthen, Isabelle","Literaturwettbewerb Ausgabe","Jurymitglied","WA206",2019
"P11322","May, Karl","Buch","VerfasserIn Buch","9783373005407",2020
"P11158","Marrak, Michael","Buch","VerfasserIn Buch","9783958693593",2023
"P1742","Boesche-Zacharow, Tilly","Buch","VerfasserIn Buch","9783923809943",2013
"P11551","Merks-Krahforst, Martina","Buch","ÜbersetzerIn Buch","9783981223477",2009
"P19959","Zercher, Sabine","Buch","VerfasserIn Buch","9783982547701",2023
"P18715","Wallner, Frank","Buch","Sonstige Rolle Buch","9783942229425",2011
"P16094","Schweiger, Theodor","Buch","VerfasserIn Buch","9783754119983",2021
"P2541","Büttner, Anne","Buch","VerfasserIn Buch","9783948574000",2019
"P6945","Herzog, Josef","Buch","Sonstige Rolle Buch","9783942229692",2012
"P1100","Begrich, Thomas","Buch","VerfasserIn Buch","9783756539635",2022
"P10448","Ließmann, Kirsten","Buch","Sonstige Rolle Buch","9783940853141",2011
"P601","Autenrieth, Norbert","Buch","HerausgeberIn Buch","9783869634760",2018
"P13738","Quester-Brüning, Beate","Buch","VerfasserIn Buch","9783754347362",2021
"P10350","Leucht, Eberhard","Buch","VerfasserIn Buch","9783960002604",2023
"P10716","Ludwig, M.W.","Buch","VerfasserIn Buch","9783945045114",2017
"P2373","Buschendorf, Klaus","Buch","Unklare Rolle Buch","9783752607321",2020
"P16645","Siwak, Florence","Buch","VerfasserIn Buch","9783957203571",2022
"P6011","Günay, Merih","Buch","VerfasserIn Buch","9783949197253",2020
"P14579","Rostropowicz, Joanna","Buch","HerausgeberIn Buch","9788394870607",2019
"P8057","Josten, Husch","Buch","VerfasserIn Buch","9783492313360",2021
"P1866","Bortlik, Wolfgang","Buch","VerfasserIn Buch","9783724525509",2022
"P12111","Müller, André","Buch","VerfasserIn Buch","9783359023432",2012
"P18733","Walter, Tobias","Buch","Unklare Rolle Buch","9783740768164",2020
"P4769","Frierson, Cedric","Buch","VerfasserIn Buch","9783837209259",2011
"P19716","Wrede, Barbara","Buch","VerfasserIn Buch","9783944174006",2012
"P16371","Seidenberg, Juliane","Buch","VerfasserIn Buch","9783868585797",2010
"P2350","Burkhard, Peter","Buch","VerfasserIn Buch","9783746046518",2023
"P5864","Gugel, Petra","Buch","Sonstige Rolle Buch","9783942229678",2012
"P8487","Keller, Ulrike","Buch","VerfasserIn Buch","9783944109602",2023
"P16667","Skrziepietz, Andreas","Buch","HerausgeberIn Buch","9783745098617",2017
"P9827","Kühn, Karla","Buch","VerfasserIn Buch","9783946223757",2019
"P11905","Morgowski, Mia","Buch","VerfasserIn Buch","9783499291135",2017
"P5498","Graf, Mia","Buch","VerlegerIn Buch","9783384134196",2023
"P2825","Conrad, Wilfried","Buch","HerausgeberIn Buch","9783826049224",2012
"P8747","Klappstein, Thomas","Buch","HerausgeberIn Buch","9783865067838",2015
"P3026","Darks, Pat","Buch","VerfasserIn Buch","9783937419251",2018
"P5251","Gerster, Uschi","Buch","Unklare Rolle Buch","9783746772219",2018
"P14378","Ritschard, Ruedi","Buch","VerfasserIn Buch","9783037831366",2017
"P17647","Taller, Claudia","Buch","VerfasserIn Buch","9783903190214",2019
"P17018","Stecher, Rainer","Buch","Sonstige Rolle Buch","9783869017761",2010
"P16257","Schüler-Juckenack, Sigrid","Buch","VerfasserIn Buch","9783866852785",2011
