"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Elf-Uhr-Verl.","Elf Uhr Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elfenbein","Elfenbein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elif Verlag","Elif Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eligia Goroncy Verlag","Eligia Goroncy Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ellert & Richter Verlag","Ellert & Richter Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elsengold","Elsengold Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elsinor Verlag","Elsinor Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elvea Verlag","Elvea Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elysion Books","Elysion-Books","Buchwissenschaft, Buchhandel",NULL
"Emons Verlag","Emons Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Engeler Verlag","Urs Engeler (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Engelportal-Verl.","Engelportal Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Engelsdorfer Verlag","Engelsdorfer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Engstler","Verlag Peter Engstler","Buchwissenschaft, Buchhandel","Verlag"
"Ennsthaler","Ennsthaler Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Epospresse-Verl.","epospresse Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eppe","EPPE, Verlag und Offsetdruck, GmbH. Abt. Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Epubli","epubli GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Ergon","Ergon-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ergon-Verl.","Ergon-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Erich Weiß Verlag","Erich Weiß Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ernst Reinhardt Verlag","Ernst Reinhardt Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Esch Verlag","Esch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Espero-Verlag","Espero-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Esras.net","Esras.net","Buchwissenschaft, Buchhandel",NULL
"Ess","Verlag Matthias Ess e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Etaina","ETAINA-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Etaina-Verl.","ETAINA-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eulenspiegel Verlag","Eulenspiegel-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Europ. Univ.-Verl.","Europäischer Universitätsverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Europäischer Literaturverlag","Europäischer Literaturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Europäischer Universitätsverlag","Europäischer Universitätsverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Evangelische Verlagsanstalt","Evangelische Verlagsanstalt","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Evangelischer Presseverband","Evangelischer Presseverband in Österreich","Buchwissenschaft, Buchhandel","Verband"
"F.W. Becker GmbH","F.W. Becker GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"FAW-Verlag","FAW-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"FHL-Taschenbuch-Verl.","FHL-Taschenbuchverlag","Buchwissenschaft, Buchhandel","Verlag"
"FRED & OTTO - Der Hundeverlag","FRED & OTTO - Der Hundeverlag","Buchwissenschaft, Buchhandel","Verlag"
"Faber & Faber","Faber & Faber Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fabuloso Verlag","Fabuloso Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fabylon","Fabylon-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fagulon-Verlag","FAGULON-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fahner","Verlag Hans Fahner GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Fantastic Shades","fantastic shades","Buchwissenschaft, Buchhandel",NULL
"Faro","FARO Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fechner-Sabo","Sigrid Fechner-Sabo (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Feder & Schwert","Feder & Schwert GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Federfrei","Verlag Federfrei","Buchwissenschaft, Buchhandel","Verlag"
"Feldhaus Verlag GmbH & Co. KG","FELDHAUS VERLAG GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Festa","Festa Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Filidor-Verl.","Edition Filidor","Buchwissenschaft, Buchhandel","Verlag"
"Fink","Kunstverlag Josef Fink","Buchwissenschaft, Buchhandel; Bildende Kunst","Verlag"
"Fischer Krüger","FISCHER Krüger","Buchwissenschaft, Buchhandel",NULL
"Fischer Verlag","Karin-Fischer-Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Fischer-&-Fischer-Medien","FISCHER Medien- und Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"Folio Verlag","Folio-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fontaine Verlag","Fontaine Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Format","FORMAT Druckerei & Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Format Druckerei & Verlagsgesellschaft mbH","FORMAT Druckerei & Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Frankfurter Allg.  Buch","Frankfurter Allgemeine Buch","Buchwissenschaft, Buchhandel",NULL
"Frankfurter Literaturverlag","Frankfurter Literaturverlag (Frankfurt, Main)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Frankfurter Societäts-Medien","Frankfurter Societäts-Medien GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Frankfurter Verl.-Anst.","Frankfurter Verlags-Anstalt","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Franz Greno","Greno-Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"Franzbrötchen-Verlag","Franzbrötchen-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Frauenzimmer Verlag","Frauenzimmer Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Free Pen Verlag","Free Pen Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Freiburger Echo Verlag","Freiburger Echo Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Frenzongs Publ.","frenzongs publishing","Buchwissenschaft, Buchhandel",NULL
"Freya Verlag","Freya Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Friedrich Reinhardt Verlag","Friedrich Reinhardt AG","Buchwissenschaft, Buchhandel",NULL
"Frieling Verlag","Frieling & Partner","Buchwissenschaft, Buchhandel",NULL
"Fundus-Verl.","Fundus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Fölbach","Verlag Dietmar Fölbach","Buchwissenschaft, Buchhandel","Verlag"
"Förster","Iris Förster (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"G-Medien GmbH","G-Medien GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"GDruck-Verl.","GDruck-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"GEDOK Brandenburg","GEDOK Brandenburg","Kultur, Künste allgemein; Bildende Kunst; Literarisches Leben; Buchwissenschaft, Buchhandel; Musik (Allgemeines), Musikgeschichte",NULL
"GNN Verlag","GNN Verlag Süd GmbH","Buchwissenschaft, Buchhandel","Verlag"
"GPW-Medienverl.","GPW Medienverlag","Buchwissenschaft, Buchhandel","Verlag"
"Gabriele Schäfer Verlag","Gabriele Schäfer (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Gala-Ed.","Gala Edition","Buchwissenschaft, Buchhandel","Verlag"
"Galiani","Verlag Galiani Berlin","Buchwissenschaft, Buchhandel","Verlag"
"Galiani Berlin","Verlag Galiani Berlin","Buchwissenschaft, Buchhandel","Verlag"
"Galli","Galli Verlag (Wiesbaden)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Gallimard","Editions Gallimard","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Gangan Verlag","Gangan Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Garant","garant Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gardez!-Verl.","Gardez! Verlag","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Gareis Marketing","Gareis Marketing Kommunikation","Buchwissenschaft, Buchhandel",NULL
"Geest Verlag","Geest-Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Gehrke","Konkursbuch Verlag Claudia Gehrke","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Geistkirch Verlag","Geistkirch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gemeinde Wardenburg","Gemeinde Wardenburg. Gemeindedirektion","Buchwissenschaft, Buchhandel",NULL
"Gemma","Gemma-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gentner","A. W. Gentner-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Georg Olms Verlag","Georg Olms Verlag AG","Buchwissenschaft, Buchhandel","Verlag"
"Georg-Britting-Stiftung","Georg-Britting-Stiftung","Buchwissenschaft, Buchhandel",NULL
"Georg-von-Toyberg-Verl.","Georg von Toyberg Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gerhard-Hess-Verlag","Gerhard Hess Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gerth Medien","Gerth Medien","Buchwissenschaft, Buchhandel",NULL
"Gilles & Francke","Gilles & Francke","Buchwissenschaft, Buchhandel",NULL
"Gipfelbuch-Verl.","Gipfelbuch-Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Glaré","Glaré Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gmeiner Verlag","Gmeiner-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Goethe-Werkstatt","Goethe-Werkstatt","Buchwissenschaft, Buchhandel",NULL
"Goki Verlag","GOKI-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Goldegg Verlag","Goldegg Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Goldwaage-Verl.","Goldwaage-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Golkonda Verlag","Golkonda Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gollenstein Verlag","Gollenstein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Gollenstein-Verl.","Gollenstein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"GolubBooks","Golub Books","Buchwissenschaft, Buchhandel",NULL
"Goskonzept","Goskonzept","Buchwissenschaft, Buchhandel",NULL
"Graf","Graf Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Grafit","GRAFIT Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Graph. Werkstätten","Graphische Werkstätten Zittau","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Greifenverl.","Greifenverlag","Buchwissenschaft, Buchhandel","Verlag"
"Greifenverlag","Greifenverlag","Buchwissenschaft, Buchhandel","Verlag"
"Groh Verlag","Groh Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Grubbe","Grubbe Media GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Grubbe Media","Grubbe Media GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Grundblick-Verl.","Grundblick-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Grupello","Grupello-Verlag (Düsseldorf)","Buchwissenschaft, Buchhandel","Verlag"
"Gryphon-Verl.","Gryphon Verlagsgruppe KG","Buchwissenschaft, Buchhandel","Verlag"
"Gräfe und Unzer Verlag GmbH","Gräfe und Unzer","Handel einzelner Branchen, Dienstleistung einzelner Branchen; Buchwissenschaft, Buchhandel",NULL
"Größenwahn Verlag","Größenwahn Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Grünkreuzverl.","Grünkreuzverlag","Buchwissenschaft, Buchhandel","Verlag"
"GuideMedia Verlag GbR","GuideMedia GbR","Buchwissenschaft, Buchhandel","Unternehmen"
"Gulde Druck","Gulde Druck GmbH & Co. KG","Buchwissenschaft, Buchhandel","Druckerei"
"Gyadu - Ed. Isis","Edition Isis","Buchwissenschaft, Buchhandel","Verlag"
"Göttert","Christel Göttert (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Gütersloher Verlagshaus","Gütersloher Verlagshaus Gerd Mohn","Buchwissenschaft, Buchhandel","Verlag"
"H. W. Fichter Kunsthandel und Ed.","H. W. Fichter Kunsthandel","Buchwissenschaft, Buchhandel; Handel einzelner Branchen, Dienstleistung einzelner Branchen; Bildende Kunst",NULL
"HKL-Verlag","HKL-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"HR-Verl.","HR-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"HS-Literaturverl.","HS-Literaturverlag Heinz Spicka","Buchwissenschaft, Buchhandel","Verlag"
"Haag + Herchen","Haag + Herchen GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Haffmans Verl. bei Zweitausendeins","Haffmans Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Haffmans Verlag bei Zweitausendeins","Haffmans Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Haffmans bei Zweitausendeins","Haffmans Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Pereprava","Pereprava Verlagsges.m.b.H.","Buchwissenschaft, Buchhandel","Verlag"
"Hager, Wolfgang","Wolfgang Hager Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hai-tec Verlags- und Autorenservice","Hai-tec Verlags- und Autorenservice","Buchwissenschaft, Buchhandel","Verlag"
"Hamburger Elbsommer","Hamburger Elbsommer GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Hamburger Haiku-Verl.","Hamburger Haiku Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hamsah-Verl.","Hamsah Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hanani-Verl.","Hanani Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hanser","Carl Hanser Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hanser Berlin","Hanser Berlin","Buchwissenschaft, Buchhandel",NULL
"Hansisches Dr.- und Verl.-Haus","Hansisches Druck- und Verlagshaus","Buchwissenschaft, Buchhandel","Verlag"
"Harrassowitz","Richter & Harrassowitz","Buchwissenschaft, Buchhandel",NULL
"Harrassowitz,","Richter & Harrassowitz","Buchwissenschaft, Buchhandel",NULL
"Hartung-Gorre","Hartung-Gorre Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hasenverl.","Hasenverlag (Halle (Saale))","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Hatje Cantz","Hatje-Cantz-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hauptverband des Österreichischen Buchhandels","Hauptverband des Österreichischen Buchhandels","Buchwissenschaft, Buchhandel","Verband"
"Haus am Nepomuk","Verlag Haus am Nepomuk","Buchwissenschaft, Buchhandel","Verlag"
"Haymon Verlag","Haymon Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Heel","Heel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hegarda-Verl.","Hegarda Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Heiber","Hartmut Heiber (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Heimatverein der Grafschaft Bentheim e.V.","Heimatverein der Grafschaft Bentheim","Buchwissenschaft, Buchhandel","Verein"
"Heimatverl. Schrage","Heimatverlag Josef Schrage","Buchwissenschaft, Buchhandel","Verlag"
"Heimdall Verlag","Heimdall Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hein-Verlag","Hein-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Heinrich Tüffers Verlag GmbH","Heinrich Tüffers Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Heinrichs-Verl.","Heinrichs-Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Helios","Helios","Buchwissenschaft, Buchhandel",NULL
"Hellmund","Peter Hellmund (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Helmer","Pamela Helmer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Helms","Thomas Helms Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Helmut Schlaiß Verlag","Helmut Schlaiß (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Helmut-Maletzke-Stiftung","Helmut-Maletzke-Stiftung","Buchwissenschaft, Buchhandel",NULL
"Hemmer","Hemmer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Henss","Dr. Ronald Henss (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Hentrich & Hentrich","Hentrich & Hentrich","Buchwissenschaft, Buchhandel",NULL
"Herausgeber.ch","Herausgeber.ch","Buchwissenschaft, Buchhandel",NULL
"Herkules-Verl.","Herkules Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hess Verlag","Gerhard Hess Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hesse & Becker","Hesse & Becker","Buchwissenschaft, Buchhandel; Papierherstellung, Grafische Technik; Einzelne Branchen der Industrie und des Handwerks",NULL
"Heyn","Verlag Johannes Heyn","Buchwissenschaft, Buchhandel","Verlag"
"Heyne","Heyne","Buchwissenschaft, Buchhandel",NULL
"Hibarios","Hibarios Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hierax Medien","Hierax Medien","Buchwissenschaft, Buchhandel",NULL
"Hierophant Verlag","Hierophant Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hierreth","Janine Hierreth (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Hildesheimer Literaturverl.","Hildesheimer Literaturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Hille Verlag","Hille Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Himmel-Erde-Mensch-Verl.","Himmel-Erde-Mensch-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Himmelstürmer Verlag","Himmelstürmer Verlag Part of Production House Filmproduktions GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Hinstorff","Hinstorff-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hirmer","Hirmer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hoepli","Hoepli (Mailand)","Buchwissenschaft, Buchhandel",NULL
"Hoffmann und Campe","Hoffmann und Campe Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hohenheim-Verl.","Hohenheim Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Hollitzer","Hollitzer Wissenschaftsverlag","Buchwissenschaft, Buchhandel","Verlag"
"HomeBooks","Homebooks","Buchwissenschaft, Buchhandel",NULL
"Homo Littera","HOMO Littera (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Hora-Verl.","Editura Hora (Hermannstadt)","Buchwissenschaft, Buchhandel",NULL
"Horlemann","Horlemann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Hottenstein Buchverlag","Hottenstein Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"House of the Poets","House of the Poets","Buchwissenschaft, Buchhandel",NULL
"Hummelshain Verlag","Hummelshain Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Höll Verlag","Verlag Peter Höll","Buchwissenschaft, Buchhandel","Verlag"
"Hüsch & Hüsch GmbH","Hüsch & Hüsch GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"IATROS-Verlag und Services GmbH","IATROS Verlag & Services GmbH","Buchwissenschaft, Buchhandel","Verlag"
"IFB Verlag Deutsche Sprache","IFB Verlag Deutsche Sprache GmbH","Buchwissenschaft, Buchhandel","Verlag"
"IKGS Verlag","IKGS","Buchwissenschaft, Buchhandel",NULL
"IKGS-Verl.","IKGS","Buchwissenschaft, Buchhandel",NULL
"IKOS Verlag","IKOS-Verlag Silvia Orlando Akagi","Buchwissenschaft, Buchhandel","Verlag"
"IMT-Verlag der SIMB e.U.","SIMB GmbH & Co. KG IMT Verlag","Buchwissenschaft, Buchhandel","Verlag"
"IO-Verl.","IO Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ISB-Verl.","ISB-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Iatros Verlag","IATROS Verlag & Services GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ibera Verlag","Ibera Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Idee & Produkt Verlag","IDEE&PRODUKT Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ideenbrücke Verlag","ideenbrücke / Braunschweigverlag","Buchwissenschaft, Buchhandel","Verlag"
"Ideos","Ideos Verlag AG","Buchwissenschaft, Buchhandel","Verlag"
"Igel Verlag Literatur & Wissenschaft","Igel Verlag Literatur","Buchwissenschaft, Buchhandel","Verlag"
"Ikon-Verl.-GesmbH","ikon VerlagsGesmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ille & Riemer","Verlag Ille & Riemer","Buchwissenschaft, Buchhandel","Verlag"
"ImPrint Verlag","ImPrint Verlag","Buchwissenschaft, Buchhandel","Verlag"
"In Farbe und Bunt","In Farbe und Bunt (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Incubus Verlag","Incubus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Independent Bookworm","Independent Bookworm","Buchwissenschaft, Buchhandel",NULL
"Infinite Monkeys' Press","Infinite Monkeys' Press KG","Buchwissenschaft, Buchhandel",NULL
"Info Verlag","INFO Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Inform-Verl.","Inform Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ingo Koch Verlag","Koch, Ingo, Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Innsalz","edition innsalz Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Innsbruck Univ. Press","Universität Innsbruck. innsbruck university press iup","Buchwissenschaft, Buchhandel",NULL
"Input-Verlag","Input-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Insel","Insel Verlag Frankfurt am Main","Buchwissenschaft, Buchhandel","Verlag"
"Insel Verlag","Insel Verlag Berlin","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Internationaler Literatur- und Lyrik-Verlag","Internationaler Literatur und Lyrik Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Internet-Buchverl.","Internet-Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Ioma-Verl.","Ioma Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Irisiana","Irisiana","Buchwissenschaft, Buchhandel",NULL
"Iskopress","iskopress Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Iudicium","Iudicium Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"J.H. Röll","Verlag J.H. Röll","Buchwissenschaft, Buchhandel","Verlag"
"JRP Ringier","JRP Ringier Kunstverlag AG","Buchwissenschaft, Buchhandel","Verlag"
"Jacoby & Stuart","Verlagshaus Jacoby & Stuart","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Jagd- und Kulturverl.","Jagd- und Kulturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Jahreszeiten Verlag GmbH","Jahreszeiten-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jaja Verlag","Jaja Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jaja-Verl.","Jaja Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jaron Verlag","Jaron Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jean Verlag","Jean Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jerry Media","Jerry Media","Buchwissenschaft, Buchhandel",NULL
"Joanmartin Literaturverlag","Joan-Martin-Literaturverlag","Buchwissenschaft, Buchhandel","Verlag"
"Johannis","Johannis","Buchwissenschaft, Buchhandel",NULL
"Jos-Fritz-Verl.","Buchhandlung Jos Fritz (Freiburg im Breisgau)","Buchwissenschaft, Buchhandel","Buchhandlung"
"Joy Edition","JOY EDITION","Buchwissenschaft, Buchhandel","Verlag"
"Junfermann","Junfermann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jung und Jung","Jung und Jung","Buchwissenschaft, Buchhandel",NULL
"Justus von Liebig Verlag","Justus-von-Liebig-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Jürgen Höller Academy","Jürgen Höller Academy KG","Buchwissenschaft, Buchhandel",NULL
"KBV Verlag","KBV Klein & Blechinger Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"KKF Buchecke","KKF Buchecke","Buchwissenschaft, Buchhandel",NULL
"KLAK","KLAK Verlag","Buchwissenschaft, Buchhandel","Verlag"
"KSB-Media GmbH","KSB-Media GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"KUUUK-Verl.","KUUUK Verlag und Medien","Buchwissenschaft, Buchhandel","Verlag"
"KaMeRu Verlag","KaMeRu Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kadera Verlag","Kadera-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kalt Medien AG","Kalt Medien AG","Buchwissenschaft, Buchhandel",NULL
"Kampa Verlag","Kampa Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Karin Fischer Verlag","Karin-Fischer-Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Karina Verlag","Karina-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Karjas-Verl.","Karjas Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Karl-Lappe Verlag","Karl-Lappe Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Karl-May-Verlag","Karl-May-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Karolinger","Karolinger Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kassandra-Verl.","Kassandra Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kastel, Theodor","Theodor Kastel (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Katharina-Verl.","Katharina-Verlag-Ingelheim","Buchwissenschaft, Buchhandel","Verlag"
"Kaufmann Verlag","Verlag Ernst Kaufmann","Buchwissenschaft, Buchhandel","Verlag"
"Kawe8","kawe8 Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Kawohl Verlag","Kawohl Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kein & Aber","Kein & Aber AG","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Kein & Aber AG","Kein & Aber AG","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Kein und Aber","Kein & Aber AG","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Kelkel Verlag","Kelkel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Kellner Verlag","Klaus Kellner Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Kelm","Friedrich Kelm (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
