"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Belser","Chr.-Belser-Gesellschaft für Verlagsgeschäfte","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Benedetto-Verl.","Benedetto Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Benteli","Benteli Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Berchtesgadener Anzeiger","Berchtesgadener Anzeiger KG","Buchwissenschaft, Buchhandel",NULL
"Berchtold-Haller-Verl.","Berchtold Haller Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Berenkamp","Berenkamp Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bergischer Verlag","Bergischer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bergmann Verlag","Bergmann-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Berlin Univ. Press","Berlin University Press","Buchwissenschaft, Buchhandel",NULL
"Berlin Verlag","Berlin Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Berliner Taschenbuch-Verl.","bvt Berliner Taschenbuch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bernardus","Bernardus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bernardus-Verl.","Bernardus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bernstein-Verl.","Bernstein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bernstein-Verlag","Bernstein Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bertuch Verlag GmbH","Bertuch Verlag","Buchwissenschaft, Buchhandel","Verlag"
