"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","literaturfern_status","bemerkung","website","updated_at"
"K1252","Graphiti","GRAPHITI",NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1253","Grass Publishers",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1256","Grenda",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1258","Greven",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1260","Grolitsch",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1261","Grote",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1264","Gruber",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1271","Grünberg",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1272","Grüne Aue","Kleingartenverein Grüne Aue (Leipzig)",NULL,"Verein","unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1274","Gudruns Töchter",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1277","Gunda-Werner-Institut","Gunda-Werner-Institut","Wissenschaft; Sozialpolitik, Entwicklungshilfe","Institut","true","Institut","https://www.gwi-boell.de/de","2026-04-12 16:34:48.658505"
"K1279","Górnośląskie Centrum Kultury i Spotkań im. Eichendorffa",NULL,NULL,NULL,"true","Kultur- und Begegnungszentrum","https://eichendorff.pl/","2026-04-12 16:34:48.658505"
"K1281","Günther Emigs Literatur-Betrieb",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1284","H. Weisenfeld",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K129","Ansichtssache - Agentur für Gestaltung",NULL,NULL,NULL,"true","Kommunikationsdesign Agentur","https://www.ansichtssache.de/?srsltid=AfmBOor4x4zICWZoOQahBC5nbVAhISR7Z0sOyo5Q3hejTB7hFj8m_1KY","2026-04-12 16:34:48.658505"
"K1296","Hager",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K13","A. Delon",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1304","Hammer",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1307","Hands Art, Four",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1308","Hanno Herbst Musik & Buch",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1309","Hans-Werner Kulinna c/o Autorenglück.de",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1314","Hardt & Wörner",NULL,NULL,NULL,"true","Unternehmensberatung",NULL,"2026-04-12 16:34:48.658505"
"K1318","Hartmann",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1319","Hartmut Krüpe-Silbersiepe",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1322","Hassa & Karl Grafische Anstalten",NULL,NULL,NULL,"false","Literaturhaus","https://www.hausfuerpoesie.org/de","2026-04-12 16:34:48.658505"
"K1326","Haus für Poesie","Haus für Poesie",NULL,NULL,"false","Literaturhaus","https://www.hausfuerpoesie.org/de","2026-04-12 16:34:48.658505"
"K1327","Hawkify Books",NULL,NULL,NULL,"false","Verlag","https://www.talawah-verlag.de/","2026-04-12 19:24:36.816104"
