"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"K1544","KVHS",NULL,NULL,NULL
"K1545","KW Thörmer",NULL,NULL,NULL
"K1547","Kaden","Kaden + Kaden Holzgestaltung",NULL,NULL
"K1552","Kaltenmeier","H. Kaltenmeier Söhne (Krefeld-Hüls)",NULL,NULL
"K1555","Kannemann","Kannemann & Miko","Musik (Allgemeines), Musikgeschichte",NULL
"K1560","Karl-May-Bücherei",NULL,NULL,NULL
"K1565","Kastner","Kastner AG",NULL,NULL
"K1567","Kath. Akad.",NULL,NULL,NULL
"K1570","Kava-Pech",NULL,NULL,NULL
"K1580","Kempen, Sarah M.",NULL,NULL,NULL
"K1581","Kern",NULL,NULL,NULL
"K1582","Ketteler",NULL,NULL,NULL
"K1586","Kidnap Music",NULL,NULL,NULL
"K1597","Klaudia Zotzmann-Koch c/o Bianca Kronsteine, impressumservice.net",NULL,NULL,NULL
"K1600","Klemm + Oelschläger","Klemm+Oelschläger",NULL,NULL
"K1606","Klub Ljubitelja Knjiga Majdan",NULL,NULL,NULL
"K1607","Klub Ljubitelja Knjige Majdan",NULL,NULL,NULL
"K1608","Klöpfer","Roland Klöpfer GmbH (Ottersweier)","Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"K1614","Knürr",NULL,NULL,NULL
"K1615","Kobold Books",NULL,NULL,NULL
"K1616","Koehler",NULL,NULL,NULL
"K1619","Kolchis Belletristik",NULL,NULL,NULL
"K1621","KommPlot, Autorinnengruppe","KommPlot",NULL,NULL
"K1624","Komplett-Media","Komplett-Media GmbH",NULL,"Unternehmen"
"K1626","Kontrasp",NULL,NULL,NULL
"K1631","Kopf & Kragen",NULL,NULL,NULL
"K1636","Kovar, R",NULL,NULL,NULL
"K1643","Kreativrat der Schreibwerkstatt Feldkirch",NULL,NULL,NULL
"K1644","Krebs",NULL,NULL,NULL
"K1647","Kremser Literaturforum",NULL,NULL,"Gemeinschaft"
"K1648","Kreuz",NULL,NULL,NULL
"K1649","Kruse",NULL,NULL,NULL
"K1655","Kulturland Niederösterreich",NULL,NULL,NULL
"K1656","Kulturleben Marktgemeinde Grassau",NULL,NULL,NULL
"K1658","Kulturstammtisch","Kulturstammtisch Kirchstetten","Kultur, Künste allgemein",NULL
"K1659","Kulturverein Möhnsee e.V.",NULL,NULL,"Verein"
"K1660","Kulturverein Schloss Homburg am Main e.V.","Kulturverein Schloss Homburg am Main","Kultur, Künste allgemein","Verein"
"K1663","Kulturzone e.V.",NULL,NULL,"Verein"
"K1668","Kunstforum Salzkammergut",NULL,NULL,"Gemeinschaft"
"K1670","Kunsthochschule für Medien Köln","Kunsthochschule für Medien Köln","Neue Formen der Kunst; Hochschule","Bildungseinrichtung"
"K1673","Kunze",NULL,NULL,NULL
"K1674","Kuqi-Institut für Sprachwissenschaft, Adrian Kuqi",NULL,NULL,"Institut"
"K1677","Kuschelgang","Kuschelgang (Körperschaft)",NULL,NULL
"K2568","Smart & Nett",NULL,NULL,NULL
"K1685","Künstler-Gilde e.V.","Are-Künstler-Gilde","Bildende Kunst",NULL
"K1689","L.S.D.",NULL,NULL,NULL
"K1691","LAHA-Dr.",NULL,NULL,NULL
"K1692","LAUNENWEBER",NULL,NULL,NULL
"K1693","LCERC",NULL,NULL,NULL
"K1694","LEU",NULL,NULL,NULL
"K1695","LHDL Self Publ.",NULL,NULL,NULL
"K1696","LIBRAS Shqipe Sylejmani",NULL,NULL,NULL
