"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1342","definitiv Verlag (Name + Sachgruppe)",2
"K1343","definitiv Verlag (Name + Sachgruppe)",6
"K1344","definitiv Verlag (Name + Sachgruppe)",1
"K1345","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1346","definitiv Verlag (Name + Sachgruppe)",1
"K1347","definitiv Verlag (Name + Sachgruppe)",1
"K135","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1353","definitiv Verlag (Name + Sachgruppe)",2
"K1354","definitiv Verlag (Name + Sachgruppe)",1
"K1357","definitiv Verlag (Name + Sachgruppe)",1
"K1358","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K136","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1361","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1366","definitiv Verlag (Name + Sachgruppe)",1
"K1367","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1368","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K137","definitiv Verlag (Name + Sachgruppe)",9
"K1371","Verlag laut Name (keine verlagsrelevante Sachgruppe)",15
"K1372","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1373","definitiv Verlag (Name + Sachgruppe)",9
"K1379","definitiv Verlag (Name + Sachgruppe)",2
"K1382","definitiv Verlag (Name + Sachgruppe)",1
"K1384","definitiv Verlag (Name + Sachgruppe)",7
"K1387","definitiv Verlag (Name + Sachgruppe)",2
"K1388","definitiv Verlag (Name + Sachgruppe)",1
"K1389","definitiv Verlag (Name + Sachgruppe)",1
"K1390","definitiv Verlag (Name + Sachgruppe)",1
"K1391","definitiv Verlag (Name + Sachgruppe)",10
"K1394","definitiv Verlag (Name + Sachgruppe)",1
"K1399","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K14","definitiv Verlag (Name + Sachgruppe)",2
"K1402","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1403","definitiv Verlag (Name + Sachgruppe)",24
"K1406","definitiv Verlag (Name + Sachgruppe)",9
"K1408","definitiv Verlag (Name + Sachgruppe)",1
"K1409","Verlag laut Name (keine verlagsrelevante Sachgruppe)",7
"K141","definitiv Verlag (Name + Sachgruppe)",5
"K1413","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1414","definitiv Verlag (Name + Sachgruppe)",1
"K1415","definitiv Verlag (Name + Sachgruppe)",3
"K1418","definitiv Verlag (Name + Sachgruppe)",1
"K1420","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1421","Verlag laut Name (keine verlagsrelevante Sachgruppe)",10
"K1422","Verlag laut Name (keine verlagsrelevante Sachgruppe)",13
"K1425","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1427","definitiv Verlag (Name + Sachgruppe)",3
"K1430","definitiv Verlag (Name + Sachgruppe)",10
"K1433","definitiv Verlag (Name + Sachgruppe)",2
"K1436","definitiv Verlag (Name + Sachgruppe)",2
"K1437","Verlag laut Name (keine verlagsrelevante Sachgruppe)",11
"K1438","definitiv Verlag (Name + Sachgruppe)",1
"K1440","definitiv Verlag (Name + Sachgruppe)",1
"K1441","definitiv Verlag (Name + Sachgruppe)",1
"K1442","definitiv Verlag (Name + Sachgruppe)",5
"K1443","definitiv Verlag (Name + Sachgruppe)",2
"K1444","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1446","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1447","definitiv Verlag (Name + Sachgruppe)",1
"K1448","definitiv Verlag (Name + Sachgruppe)",1
"K1449","definitiv Verlag (Name + Sachgruppe)",1
"K145","definitiv Verlag (Name + Sachgruppe)",2
"K1450","definitiv Verlag (Name + Sachgruppe)",2
"K1451","definitiv Verlag (Name + Sachgruppe)",2
"K1452","definitiv Verlag (Name + Sachgruppe)",3
"K1454","definitiv Verlag (Name + Sachgruppe)",5
"K1456","definitiv Verlag (Name + Sachgruppe)",2
"K1458","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K146","definitiv Verlag (Name + Sachgruppe)",5
"K1460","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1461","definitiv Verlag (Name + Sachgruppe)",14
"K1462","definitiv Verlag (Name + Sachgruppe)",1
"K1463","definitiv Verlag (Name + Sachgruppe)",1
"K1468","definitiv Verlag (Name + Sachgruppe)",7
"K147","definitiv Verlag (Name + Sachgruppe)",1
"K1470","definitiv Verlag (Name + Sachgruppe)",3
"K1471","definitiv Verlag (Name + Sachgruppe)",1
"K1472","definitiv Verlag (Name + Sachgruppe)",65
"K1476","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1477","definitiv Verlag (Name + Sachgruppe)",3
"K1478","definitiv Verlag (Name + Sachgruppe)",1
"K1479","definitiv Verlag (Name + Sachgruppe)",1
"K148","definitiv Verlag (Name + Sachgruppe)",2
"K1481","Verlag laut Name (keine verlagsrelevante Sachgruppe)",22
"K1482","definitiv Verlag (Name + Sachgruppe)",2
"K1483","definitiv Verlag (Name + Sachgruppe)",6
"K1488","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1489","definitiv Verlag (Name + Sachgruppe)",1
"K149","definitiv Verlag (Name + Sachgruppe)",1
"K1490","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1492","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1494","definitiv Verlag (Name + Sachgruppe)",1
"K1495","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1496","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1499","definitiv Verlag (Name + Sachgruppe)",3
"K150","definitiv Verlag (Name + Sachgruppe)",1
"K1500","definitiv Verlag (Name + Sachgruppe)",1
"K1501","definitiv Verlag (Name + Sachgruppe)",1
"K1502","definitiv Verlag (Name + Sachgruppe)",0
"K1503","definitiv Verlag (Name + Sachgruppe)",2
"K1506","definitiv Verlag (Name + Sachgruppe)",9
"K1507","definitiv Verlag (Name + Sachgruppe)",2
"K1509","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K151","definitiv Verlag (Name + Sachgruppe)",1
"K1510","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1514","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1515","definitiv Verlag (Name + Sachgruppe)",1
"K1519","definitiv Verlag (Name + Sachgruppe)",5
"K152","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1523","definitiv Verlag (Name + Sachgruppe)",1
"K1526","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1528","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1530","definitiv Verlag (Name + Sachgruppe)",3
"K1534","definitiv Verlag (Name + Sachgruppe)",20
"K1535","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1536","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1537","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1539","definitiv Verlag (Name + Sachgruppe)",3
"K154","Verlag laut Name (keine verlagsrelevante Sachgruppe)",17
"K1541","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1543","definitiv Verlag (Name + Sachgruppe)",7
"K1546","definitiv Verlag (Name + Sachgruppe)",13
"K1548","definitiv Verlag (Name + Sachgruppe)",6
"K1549","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1553","definitiv Verlag (Name + Sachgruppe)",3
"K1554","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1556","definitiv Verlag (Name + Sachgruppe)",16
"K1557","definitiv Verlag (Name + Sachgruppe)",17
"K1558","definitiv Verlag (Name + Sachgruppe)",1
"K1559","definitiv Verlag (Name + Sachgruppe)",3
"K156","definitiv Verlag (Name + Sachgruppe)",3
"K1561","definitiv Verlag (Name + Sachgruppe)",4
"K1562","definitiv Verlag (Name + Sachgruppe)",1
"K1563","definitiv Verlag (Name + Sachgruppe)",4
"K1566","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K1568","definitiv Verlag (Name + Sachgruppe)",3
"K1569","definitiv Verlag (Name + Sachgruppe)",11
"K157","definitiv Verlag (Name + Sachgruppe)",27
"K1571","definitiv Verlag (Name + Sachgruppe)",1
"K1572","definitiv Verlag (Name + Sachgruppe)",1
"K1576","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
