veranstaltung_id;va_name;veranstalter;veranstaltungsort;laengenvorgabe_text;themenvorgabe;altersgrenze;jury_2023;zyklus;preis;preisgeld_2023;publikation;auftritt_veranstaltung;erstausrichtung;website 
;Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb;ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus;Mölltal;750-1750 Zeichen;ja;"mind. 14 Jahre alt (bezieht sich auf Kurzgeschichtenwettbewerb für Autor*innen; Altersgrenze für Kurzgeschichtenwettbewerb für Nachwuchsautor*innen: bis zum Ende der 8. Schulstufe, hier aber nur Nachwuchspreis in Form eines Bücherpakets!)";"Franzobel; Altziebler, Agnes; Böllinger, Birgit; Koch, Alfred; Thies, Luisa";jährlich;"Preisgeld; Buchpreise";100-1000€;ja;ja;2016;https://www.moelltaler-geschichten-festival.at/
;nah und fern Literaturpreis ;Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut;Salzkammergut/Bad Ischgl;12000-20000;ja;"Jugendpreis: 14 bis 19 Jahre; Kategorie Erwachsene: ab 20 Jahre";Zehnköpfige Fach-Jury wählt Short-List aus, danach Fünf-Köpfige Jury + Publikum auf Veranstaltung die Gewinner;erstmals;Preisgeld;500-4000€;ja;ja;2023;https://www.salzkammergut-2024.at/projekte/literaturpreis-nah-und-fern/
;open mike - Wettbewerb für junge Literatur ;"Haus für Poesie;Literaturwerkstatt Berlin";Berlin;15 minütige Lesezeit;nein;unter 35;"Bazyar, Shida; Varatharajah, Senthuran; Golob, Anja Zag";jährlich;"Preisgeld; Publikation";7.500€ gesamt;ja;ja;1993;https://www.haus-fuer-poesie.org/de/open-mike/h/
;Peng! Kurz-Krimi- Wettbewerb;Literaturhaus Salzburg;Salzburg;0-15000 Zeichen;ja;18-28 Jahre;keine Info;keine Info;Preisgeld;1000-2500€;keine Info;ja;2009;https://www.die-criminale.de/krimipedia/krimipreise-ausschreibungen/5376-kurzkrimi-wettbewerb-fuer-junge-autorinnen.html
;Preis der Gruppe 48;Die Gruppe 48 e.V.;Rösrath;8000-10000 Zeichen;nein;mind. 16 Jahre alt;"Oberkampf, Uta; Harst, Uta; Buehler, Rosemarie; Buehler, Rohna; Dietz, Pierre; Gellermann, Rainer; Hinrichsen, Christel; Neumann, Bernd; Ostertag, Heiger; Pfefferlen, Erich; Rudolf, Bodo; van Thorn, Niklas; Walther, Monika";jährlich;Preisgeld;1000-3000€;ja;ja;2016;https://www.die-gruppe-48.net/Zweck-und-Ziel
;SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit;3. Oktober – Deutschland singt und klingt;Leipzig;0-30000 Zeichen;ja;"Kategorie 1: 16 bis 26 Jahre; Kategorie 2: ab 16 Jahre, Kategorie 3: Schüler*innen der Sekundärstufe";"George, Nina; Bärsch, Thomas; Falkenhagen, Lena; Spreckelsen, Tilman; Dobschütz, Robert; Oettinghaus, Bernd; Tenzler-Heusler, Susanne; Tenzler, Emma; Schulze Wehninck, Birgit";;"Preisgeld; Reise; Publikation";250-1000€;ja;ja;2022;https://3oktober.org/schreibwettbewerb/
;Schreibwettbewerb „Über All“;LizzyNet gGmbH;online;0-6000 Zeichen;ja;12-26 Jahre;"Fohlmeister, Janine; Hannig, Theresa; Morris, Brandon Q.; Mummer-Göbel, Linda; Urban, Karl";ungefähr jährlich;"Preisgeld; Sachpreise";;ja;ja;2023;https://www.lizzynet.de/wws/9.php#/wws/ueber-all-schreibwettbewerb.php
;Schreib-Wettbewerb der SchreibRäume;Magazin SchreibRÄUME;;0-10000 Zeichen;ja;ab 18 Jahren;keine Info;keine Info;"Preisgeld; Publikation";100-300€;ja;keine Info;2023;https://schreibraeume-magazin.at/schreibwettbewerb/
;Schreibwettbewerb des Literaturhaus Zürich;"Literaturhaus Zürich;Zürcher Kantonalbank";Zürich/online;0-10000;ja;nein;"Schneider, Gesa; Vonlanthen, Isabelle; Bissig, Florian; Fuchs, Elisa; Mbuti, Ann; Nielsen, Jens; Rodgers, Davina; Zingg, Martin";monatlich;"Auftritt; Publikation";;ja;ja;2001;https://literaturhaus.ch/schreibwettbewerb/
;Schreibwettbewerb für junge Menschen;Tübinger Buchhandlung Wekenmann unter der Schirmherrschaft von Dr. Daniela Hüttig, Erste Landesbeamtin, und in Kooperation mit der Tübinger Museumsgesellschaft;Tübingen;1-5 Seiten;ja;16 bis 25 JAhre;Eine fünfköpfige Jury;jährlich;Publikation;;keine Info;ja;2004;https://www.wekenmann-buch.de/de/veranstaltungen-termine/schreibwettbewerb/archiv/19-schreibwettbewerb-fuer-junge-menschen-2022.html
