ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783893203017; 389320301X,Angst vor Gott,1. Auflage,Berlin,Edition TIAMAT,2023,174 Seiten,"Dannen, Funny van",,,,,Anthologie; Gemischte Anthologien,ger,
9783347837584; 3347837584,Ankommen im eigenen Leben,,Ahrensburg,tredition,2023,188 Seiten,"Schulz, Roswitha",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783347837577; 3347837576,Ankommen im eigenen Leben,,Ahrensburg,tredition,2023,188 Seiten,"Schulz, Roswitha",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783757885830; 375788583X,Annettes Anekdoten,1. Auflage,Norderstedt,BoD – Books on Demand,2023,76 Seiten,"Fischer, Annette-Josefine",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Anthologie,Erstveröffentlichung,Bamberg,China Fan Verlag,Oktober 2023-,,"Li, Jenny",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783949653032,"April, April",1. Auflage,[Berlin],MetaPol Verlag & Medien,[2023],324 Seiten,"Clemens, Björn",,,,,"Fiktionale Darstellung; Humor, Satire",ger,
9783000755606,Arabische Erzählungen voll Weisheit und Hoffnung,Ungekürzte Ausgabe,"Reutlingen, Germany",Almadinah gUG,Mai 2023,140 Seiten,"Raouan, Abdessalem; Raouan, Edith Iman",,,,,Fiktionale Darstellung; Erzählende Literatur: Anthologien,ger,
9783910619067; 3910619061,ARCHAIOS Sammelband Teil 1 bis 3,Neuerscheinung,Herzogenrath,Feuertanz-Verlag,2023,1144 Seiten in 3 Teilen,"Edenhofer, Ralph",,,,,Horror,ger,
9783756878673; 3756878678,Arion Lusitanicus,1. Auflage,Norderstedt,BoD – Books on Demand,2023,108 Seiten,"Bauer, Joseph",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783757942458; 3757942450,"Asche ist alles, was bleibt",,Heppenheim,Yola Stahl,Juli 2023,284 Seiten,,"Stahl, Yola",,,,Anthologie; Fantasy,ger,
9783347925502; 3347925505,Aspekte der Raumzeit,,Ahrensburg,tredition,2023,128 Seiten,"Köhler, Jutta; Throll, Anette",,,,,Gemischte Anthologien,ger,
,Atalanta,Ungekürzte Neuausgaben in neuer deutscher Rechtschreibung,Lüneburg,Dieter von Reeken,2023-,6 Bände,"Kraft, Robert",,,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
