literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA96;Sinn und Form;LZ68;1;2022;Das Zusammenfalten der Zeit;Seyer, Walle
LZA97;Das GRAMM;LZ12;10;2022;John Belushi;Stahl, Alexandra
LZA98;Das GRAMM;LZ12;11;2022;Poolparty;Winkler, Philipp
LZA99;Das GRAMM;LZ12;12;2022;Immer die Liebe;Grigorcea, Dana
LZA100;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;241;2022;"Quinn; mutterfremd; tänzeln; Manner: Sturm der Triebe";"Kaiser-Mühläcker, Roman;Karrasch, Ferial Nadja;Milsch, Charlotte;Osagiobare"
LZA101;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;242;2022;Es reicht doch, das Matterhorn zu bestaunen;Lehr, Thomas
LZA102;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;243;2022;"Einige Landesgrenzen weiter östlich, von hier aus gesehen; A Gringo Like Me";"Bulucz, Alexandru;Kordež, Klemen"
LZA103;Sinn und Form;LZ68;3;2022;Der Jenseits-Baedeker;von Kieseritzky, Ingomar
LZA104;Das GRAMM;LZ12;7;2022;Die Aussicht;Engler, Leon
LZA105;Das GRAMM;LZ12;8;2022;Abendbrot;Hermann, Judith
LZA106;Das GRAMM;LZ12;9;2022;Stock und Kopf;Özdogan, Selim
LZA107;Sinn und Form;LZ68;1;2023;"Nachtwege; Onkel hast du Feuer?";"Weinholz, Erhard;Kohlhaase, Wolfgang"
LZA108;Das GRAMM;LZ12;13;2023;Gehen oder Bleiben;"Poznan, Judith;Lukas, Clint"
LZA109;Das GRAMM;LZ12;14;2023;Alles wird heller;Hirschl, Elias
LZA110;Das GRAMM;LZ12;15;2023;Glitzer;Thomas, Ruth Maria
LZA111;Das GRAMM;LZ12;16;2023;Die Sterne über der Wüste;Lupert, Rick
LZA112;Das GRAMM;LZ12;17;2023;Liebe Grüße;Gawrisch, Dmitrij
LZA113;Das GRAMM;LZ12;18;2023;Lady-Mücken;Nandi, Jacinda
LZA114;Sinn und Form;LZ68;2;2023;"Man tut nichts anderes dort; Vierhundertfünfundsechzig";"Steinkopf, Leander;Schock, Ralph"
LZA115;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;245;2023;"Ferhat; Verdrängungen ersten Grades; Winterschlaf; Peter Papierflieger; Oh well; Familienkur; Oh, Sunny";"Aktay, Eser;Engler, Leon;Petuzzi, Mario;Philippi, Emily;Putz, Tom Jan;Schumacher, Florentin;Yun, Ta-Som"
LZA116;Sinn und Form;LZ68;3;2023;Weiße Stellen, schwarze Löcher, blinde Flecken;Schulze, Ingo
LZA117;Sinn und Form;LZ68;4;2023;Einfache Rezepte;Weinholz, Erhard
LZA118;Sinn und Form;LZ68;5;2023;Leonor rückwärts;Kempker, Kerstin
