Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7716;LittleChi;https://www.fanfiktion.de/u/LittleChi;50756e330001e5ea0c907530;https://www.fanfiktion.de/s/50756e330001e5ea0c907530/1/Te-Amo;Te Amo;Prosa;Kurzgeschichten;1;10.10.2012;10.10.2012;572;SongficSchmerz/Trost, Liebesgeschichte;P12;0;1
7717;Tuetensuppe;https://www.fanfiktion.de/u/Tuetensuppe;5074741f0001153f0c907530;https://www.fanfiktion.de/s/5074741f0001153f0c907530/1/Der-Erste;Der Erste;Prosa;Kurzgeschichten;1;09.10.2012;09.10.2012;897;GeschichteAllgemein;P6;0;3
7718;Wunderling666;https://www.fanfiktion.de/u/Wunderling666;5074444b0001ceff0c907530;https://www.fanfiktion.de/s/5074444b0001ceff0c907530/1/Das-Ticken-der-Uhr;Das Ticken der Uhr;Prosa;Kurzgeschichten;1;09.10.2012;09.10.2012;561;KurzgeschichteFamilie;P12;0;1
7719;EvilCupcake;https://www.fanfiktion.de/u/EvilCupcake;507337d7000270200c907530;https://www.fanfiktion.de/s/507337d7000270200c907530/1/Der-Antagonist;Der Antagonist;Prosa;Kurzgeschichten;1;08.10.2012;08.10.2012;8397;KurzgeschichteFantasy, Horror;P16;0;0
7720;DracoxD;https://www.fanfiktion.de/u/DracoxD;5073234100023a230c907530;https://www.fanfiktion.de/s/5073234100023a230c907530/1/Der-angsteinfloessende-Wald;Der angsteinflößende Wald;Prosa;Kurzgeschichten;1;08.10.2012;08.10.2012;482;KurzgeschichteThriller, Angst;P16;0;1
7721;Corynna;https://www.fanfiktion.de/u/Corynna;5073176a000281250c907530;https://www.fanfiktion.de/s/5073176a000281250c907530/1/never-ending-story;never-ending story;Prosa;Kurzgeschichten;1;08.10.2012;08.10.2012;574;KurzgeschichteFantasy;P12;0;1
7722;IcyLightGuardian;https://www.fanfiktion.de/u/IcyLightGuardian;507228380001b8890c907530;https://www.fanfiktion.de/s/507228380001b8890c907530/1/Gefuehlschaos-und-Bier;.- Gefühlschaos und Bier?;Prosa;Kurzgeschichten;1;08.10.2012;08.10.2012;3464;KurzgeschichteFreundschaft, Liebesgeschichte;P16;0;0
7723;DreamerGabriel;https://www.fanfiktion.de/u/DreamerGabriel;5071e4d80001dc080c907530;https://www.fanfiktion.de/s/5071e4d80001dc080c907530/1/Der-Rhythmus-des-Lebens-und-der-Zeit;Der Rhythmus des Lebens und der Zeit;Prosa;Kurzgeschichten;1;07.10.2012;07.10.2012;1715;KurzgeschichteSchmerz/Trost, Liebesgeschichte;P18;2;4
7724;MissSomerhalder;https://www.fanfiktion.de/u/MissSomerhalder;5071aa570001cec70c907530;https://www.fanfiktion.de/s/5071aa570001cec70c907530/1/Jeden-Tag-dasselbe;Jeden Tag dasselbe;Prosa;Kurzgeschichten;1;07.10.2012;07.10.2012;323;KurzgeschichteFamilie, Liebesgeschichte;P12;0;0
7725;MissSomerhalder;https://www.fanfiktion.de/u/MissSomerhalder;5071a7ee0001cec70c907530;https://www.fanfiktion.de/s/5071a7ee0001cec70c907530/1/Wintertage;Wintertage;Prosa;Kurzgeschichten;1;07.10.2012;07.10.2012;398;KurzgeschichteSchmerz/Trost, Liebesgeschichte;P12;0;0
