va_ausgabe_id;va_ausgabe_titel;vonveranstaltung;veranstaltung_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;Quelle
32;27. Deutscher Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2021;"Behrens, Andreas;Schliedermann, Frank;Stalewski, Leszek;Dick, Marion";"Schnee von gestern; Test, Test…Cinderella has left the building; Strahlen; Woche zwei";"Bleuler, Anna-Kathrin;Reich, Marie;Prechtel, Adrian";Schrei endlich! ;;https://www.zuendeln.de/?p=7984
33;Deutscher Kurzgeschichtenwettbewerb 2022;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2022;"Weise, Cäcilia;Siche, Thorsten N.;Schwarze, Heike;Niederberger, Lisa-Viktoria";"Warmes Fleisch; Bei Kerbers nebenan; 3.000 Meter; Und Zoreh schreit";"May, Alexander;Schley, Fridolin;Bleuler, Kathrin;Jaksch, Stefanie";Was für!;;https://www.zuendeln.de/?cat=4&paged=3
34;28. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2023;"Hanka, Inga;Petersen, Karin;Ehrlich, Nancy;Ferrari, Elias";"Was ein schöner Tag; In der Ringbahn; Kranich; Vor dem Ende";;Deine Geschichte;;https://www.zuendeln.de/?p=8195
35;11. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2008;"Kreller, Susan;Scholz, Peter;Hinsberger, Gisela";"Es wird immer wieder still; Small Story; C'est la vie";;;;https://www.moersergesellschaft.de/preistraegerinnen/
36;12. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2009;"Rehlinghaus, Chr.;Brall, Dirk;Schmidt, Iris";"Nach den Sternen greifen; Transit; Lady Warrior";;;;https://www.moersergesellschaft.de/preistraegerinnen/
37;13. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2010;"Reichert, Andrea;Lange, Rolf;Steffen, Pia";"Der Faber; Ich war einmal; Spurlos verschwunden";;;;https://www.moersergesellschaft.de/preistraegerinnen/
38;14. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2011;"Karner, Frank;Pacholski, Ronald;Schöne, Anja";"Aufstieg; Lockentanz; Septembermädchen";;Dabei sein;;https://www.moersergesellschaft.de/preistraegerinnen/
39;15. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2012;"Leicht, Christina;Spiecker, Felicitas;Brune, Christian";"Ist es kalt?; Der Morgen danach; Liebe auf Zeit";;Der Morgen danach;;https://www.moersergesellschaft.de/preistraegerinnen/
40;16. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2013;"Bös, Nike;Steffen, Pia;Bünnig, Jenny";"Spielzeug aus Amerika; Einmal nicht aufgepasst; Acht Worte, drei Sätze, ein Gefühl …";;Einmal nicht aufgepasst;;https://www.moersergesellschaft.de/preistraegerinnen/
41;17. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2014;"Polmans, Sebastian;Steuten, Barbara;Feldmann, Annette";"Janusz; Flugbahn; Der Querschläger";;suchen und finden;;https://www.moersergesellschaft.de/preistraegerinnen/
42;18. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2015;"Schmitz, Claudia;Schmidt, Thorsten;Stolle, Anne";"Schneewehen; Kopfüber, Hannah; Von unten betrachtet";;Verspielt;;https://www.moersergesellschaft.de/preistraegerinnen/
43;19. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2016;"Ketelaer, Benedikt;Utermann, Thorben;Frambach, Sabine";"Lagerkoller; Der Weg zum Meer; Sand am Meer";;Am Meer;;https://www.moersergesellschaft.de/preistraegerinnen/
44;20. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2017;"Helfferich, Pia;Göbel, Lisa-Maria;Patten, André";"Wie man tausend Kraniche faltet; Stiche; Heimatfreunde";;Unter Freunden ;;https://www.moersergesellschaft.de/preistraegerinnen/
45;21. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2018;"Krakau, Felix;Münch, Maja;Ostrau, Julia";"Centre Court; Namenlos; Like, Neid, Neid";;Im Netz;;https://www.moersergesellschaft.de/preistraegerinnen/
46;22. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2019;"Frambach, Sabine;Stolle, Anne;Habermann, Christian";"Die Kopistin; Wenn die Maden kommen; Vollidiot";;Falsche Freunde;;https://www.moersergesellschaft.de/preistraegerinnen/
47;23. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2020;"v. Fest, Miriam;Herx, Ada;Farken, Celina";"Die Prinzessin von Sansibar; Der Ausstieg; Wie die Sterne";;Im Rï¿½ckblick;;https://www.moersergesellschaft.de/preistraegerinnen/
48;24. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2021;"Janßen, Patricia;Wolff, Saskia;Holtz, Julia";"Das Erbe; Dahinter wird Stille; Ich bin noch da";;Sprachlos;;https://www.moersergesellschaft.de/preistraegerinnen/
49;25. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2022;"Schlegel, Tina;Hensen, Ann-Kristin;Kogler, Iris";"Rote Spuren; Regen im Weltall; Siebzehn Tage";;Versprochen;;https://www.moersergesellschaft.de/preistraegerinnen/
50;26. Ausschreibung des Moerser-Literaturpreises;Moerser-Literaturpreis;;2023;"Hanka, Inga;Ritgens, Helena;Kluwe, Katrin";"Wiedersehen; Wolkenschwer; Es ist nur ein Wort";;Wider Willen;;https://www.moersergesellschaft.de/preistraegerinnen/
51;16. open mike;Open Mike ;;2008;"Petner, Sonia;Kutschke, Svealena;Wack, Johanna";"Zitronen; Rückspiegel; Punkte";"Glavinic, Thomas;Rinck, Monika;Zaimoglu, Feridun";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2008/die-jury/
52;17. open mike;Open Mike ;;2009;"Mahlke, Inger-Maria;Senkel, Matthias";"3. Kapitel: Potulski I (Auszug); Peng. Peng. Peng. Peng.";"Krechel, Ursula;Röggla, Kathrin;Sparschuh, Jens";;"Erster Preis; Zweiter Preis & Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2010-2/die-gewinner
53;18. open mike;Open Mike ;;2010;"Snela, Jan;Marklein, Janko;Polmans, Sebastian";"Milchgesicht; Wir stellen uns nicht dumm; Über Peanuts, mich und andere Sachen";"Ortheil, Hanns-Josef;Trojanow, Ilija;Utler, Anja";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2010/die-gewinner
54;19. open mike;Open Mike ;;2011;"Böhm, Christina;Ernst, Joseph Felix";"Platzanweisung; Dora Diamant";"Hoppe, Felicitas;Rammstedt, Tilman;Schmidt, Kathrin";;"Erster Preis & Preis der taz-Publikumsjury; Zweiter Preis ";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-20/die-gewinner
55;20. open mike;Open Mike ;;2012;"Gugić, Sandra;Guse, Juan S.;Juschka, Joey";"Junge Frau, undatiert; Pelusa; SCHAF e.V.";"Beyer, Marcel;Scheuermann, Silke;von Steinaecker, Thomas";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2012/die-fianalisten-und-gewinner-2012/die-gewinner-2012/
56;21. open mike;Open Mike ;;2013;"Gawrisch, Dmitrij;Eisel, Jens";"Schaukelgestühl ganse en bräune; Glück";"Erpenbeck, Jenny;Urweider, Raphael;Peltzer, Ulrich";;"Erster Preis; Zweiter Preis";https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2012-2/t/die-gewinner-des-21-open-mike/
57;22. open mike;Open Mike ;;2014;"Anselm, Doris;Schneider, Mareike;Bekas, Gerasimos";"Die Krieger des Königs Ying Zheng; Die Holzmieterin; Feierabend";"Kuhligk, Björn;Maier, Andreas;Poschmann, Marion";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/open-mike-archiv-2014/teilnehmer-2014/die-preistraeger-des-22-open-mike/
58;23. open mike;Open Mike ;;2015;"Lind, Jessica;Töglhofer, Theresia;Krömer, Philip";"Mama; Das pure Leben; der eine der andere";"Brandt, Jan;Merz, Klaus;Mora, Terézia";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";"https://www.haus-fuer-poesie.org/de/open-mike/archiv/archiv-2015/die-preistraeger-2015/; https://www.openmikederblog.de/2015/11/08/die-preistraeger-des-open-mike-2015/"
59;24. open mike;Open Mike ;;2016;"Dierkes, Thilo;Quaderer, Benjamin;Nuss, Rudi";"Von Ajaccio her; Für immer die Alpen; kurze Szenerie mit Loch";"Mahlke, Inger-Maria;Seiler, Lutz;Stanišić, Saša";;"Erster Preis; Zweiter Preis; Preis der taz-Publikumsjury";https://www.haus-fuer-poesie.org/de/open-mike/archiv/open-mike-2016/die-preistraeger-2016
