objekt_id;objekt_typ;koerperschaft_id;rolle
9783038300908;Buch;K2157;VerlegerIn Buch
"9783038302674; 3038302678";Buch;K2157;VerlegerIn Buch
"9783038303640; 303830364X";Buch;K2157;VerlegerIn Buch
"9783038305279; 3038305278";Buch;K2157;VerlegerIn Buch
"9783038308232; 3038308234";Buch;K2157;VerlegerIn Buch
"9783038308546; 3038308544";Buch;K2157;VerlegerIn Buch
"9783038313014; 3038313017";Buch;K615;VerlegerIn Buch
"9783038313113; 3038313114";Buch;K615;VerlegerIn Buch
9783038480617;Buch;K1121;VerlegerIn Buch
"9783038481577; 3038481572";Buch;K1121;VerlegerIn Buch
"9783038500186; 3038500186";Buch;K2033;VerlegerIn Buch
"9783038530183; 3038530182";Buch;K611;VerlegerIn Buch
"9783038530398; 3038530395";Buch;K611;VerlegerIn Buch
"9783038539896; 3038539899";Buch;K3238;VerlegerIn Buch
"9783038539933; 3038539937";Buch;K3239;VerlegerIn Buch
"9783038670025; 3038670022";Buch;K3481;VerlegerIn Buch
"9783038670261; 303867026X";Buch;K3481;VerlegerIn Buch
"9783038670636; 3038670634";Buch;K3481;VerlegerIn Buch
"9783038670698; 3038670693";Buch;K3481;VerlegerIn Buch
"9783038761198; 3038761192";Buch;K1969;VerlegerIn Buch
"9783038820222; 3038820229";Buch;K192;VerlegerIn Buch
"9783038830931; 3038830933";Buch;K2505;VerlegerIn Buch
"9783038860327; 3038860328";Buch;K3523;VerlegerIn Buch
9783038961659;Buch;K2623;VerlegerIn Buch
"9783038962243; 3038962244";Buch;K2623;VerlegerIn Buch
9783039091751;Buch;K3058;VerlegerIn Buch
"9783039130344; 303913034X";Buch;K38;VerlegerIn Buch
"9783039260133; 3039260138";Buch;K1791;VerlegerIn Buch
"9783039260218; 3039260219";Buch;K1791;VerlegerIn Buch
"9783039260591; 3039260596";Buch;K1791;VerlegerIn Buch
"9783039260607; 303926060X";Buch;K1791;VerlegerIn Buch
"9783039300167; 3039300164";Buch;K1028;VerlegerIn Buch
"9783039300174; 3039300172; 9783906913797; 3906913791";Buch;K1028;VerlegerIn Buch
"9783039300181; 3039300180; 9783906913810; 3906913813";Buch;K1028;VerlegerIn Buch
"9783039300433; 3039300431";Buch;K1028;VerlegerIn Buch
"9783039510153; 3039510150";Buch;K479;VerlegerIn Buch
"9783039510375; 3039510371";Buch;K479;VerlegerIn Buch
9783060366569;Buch;K545;VerlegerIn Buch
"9783100022196; 310002219X";Buch;K2400;VerlegerIn Buch
"9783100022264; 3100022262";Buch;K2400;VerlegerIn Buch
"9783100024077; 3100024079";Buch;K2400;VerlegerIn Buch
"9783100024879; 3100024877";Buch;K2400;VerlegerIn Buch
"9783100024930; 3100024931";Buch;K2400;VerlegerIn Buch
9783100336422;Buch;K2400;VerlegerIn Buch
9783100338433;Buch;K2400;VerlegerIn Buch
9783100382030;Buch;K2400;VerlegerIn Buch
9783100415165;Buch;K2400;VerlegerIn Buch
"9783100483256; 3100483251";Buch;K2400;VerlegerIn Buch
"9783100483263; 310048326X";Buch;K2400;VerlegerIn Buch
"9783100486011; 3100486013";Buch;K2400;VerlegerIn Buch
"9783100751287; 3100751280";Buch;K2400;VerlegerIn Buch
9783100751331;Buch;K2400;VerlegerIn Buch
"9783100751379; 310075137X";Buch;K2400;VerlegerIn Buch
"9783100800312; 3100800311";Buch;K2400;VerlegerIn Buch
"9783103972641; 3103972644";Buch;K2400;VerlegerIn Buch
"9783103974782; 3103974787";Buch;K2400;VerlegerIn Buch
"9783103975116; 3103975112";Buch;K2400;VerlegerIn Buch
9783110439458;Buch;K592;VerlegerIn Buch
9783110676570;Buch;K592;VerlegerIn Buch
"9783110715910; 3110715910";Buch;K3292;VerlegerIn Buch
"9783141220513; 3141220514";Buch;K3153;VerlegerIn Buch
9783150001615;Buch;K2304;VerlegerIn Buch
9783150041956;Buch;K2304;VerlegerIn Buch
9783150061794;Buch;K2304;VerlegerIn Buch
9783150082874;Buch;K2304;VerlegerIn Buch
9783150083468;Buch;K2304;VerlegerIn Buch
9783150088517;Buch;K2304;VerlegerIn Buch
9783150098325;Buch;K2304;VerlegerIn Buch
"9783150105146; 3150105145";Buch;K2304;VerlegerIn Buch
"9783150106365; 3150106362";Buch;K2304;VerlegerIn Buch
9783150106969;Buch;K2304;VerlegerIn Buch
9783150107409;Buch;K2304;VerlegerIn Buch
"9783150107584; 315010758X";Buch;K2304;VerlegerIn Buch
9783150107690;Buch;K2304;VerlegerIn Buch
9783150107737;Buch;K2304;VerlegerIn Buch
9783150107812;Buch;K2304;VerlegerIn Buch
9783150107898;Buch;K2304;VerlegerIn Buch
9783150108031;Buch;K2304;VerlegerIn Buch
