objekt_id;objekt_typ;koerperschaft_id;rolle
"9783150108048; 3150108047";Buch;K2304;VerlegerIn Buch
9783150108055;Buch;K2304;VerlegerIn Buch
"9783150108291; 3150108292";Buch;K2304;VerlegerIn Buch
"9783150108512; 3150108519";Buch;K2304;VerlegerIn Buch
"9783150108635; 3150108632";Buch;K2304;VerlegerIn Buch
"9783150108864; 3150108861";Buch;K2304;VerlegerIn Buch
"9783150109106; 3150109108";Buch;K2304;VerlegerIn Buch
"9783150109298; 3150109299";Buch;K2304;VerlegerIn Buch
"9783150109762; 3150109760";Buch;K2304;VerlegerIn Buch
"9783150109861; 3150109868";Buch;K2304;VerlegerIn Buch
"9783150110379; 3150110378";Buch;K2304;VerlegerIn Buch
"9783150110607; 3150110602";Buch;K2304;VerlegerIn Buch
"9783150110614; 3150110610";Buch;K2304;VerlegerIn Buch
"9783150110621; 3150110629";Buch;K2304;VerlegerIn Buch
"9783150110638; 3150110637";Buch;K2304;VerlegerIn Buch
"9783150110645; 3150110645";Buch;K2304;VerlegerIn Buch
"9783150110898; 3150110890";Buch;K2304;VerlegerIn Buch
"9783150111291; 3150111293";Buch;K2304;VerlegerIn Buch
"9783150111482; 315011148X";Buch;K2304;VerlegerIn Buch
"9783150111871; 3150111870";Buch;K2304;VerlegerIn Buch
"9783150112298; 315011229X";Buch;K2304;VerlegerIn Buch
"9783150112335; 3150112338";Buch;K2304;VerlegerIn Buch
"9783150112342; 3150112346";Buch;K2304;VerlegerIn Buch
"9783150112649; 3150112648";Buch;K2304;VerlegerIn Buch
"9783150113301; 315011330X";Buch;K2304;VerlegerIn Buch
"9783150113653; 3150113652";Buch;K2304;VerlegerIn Buch
"9783150114285; 3150114284";Buch;K2304;VerlegerIn Buch
"9783150114377; 3150114373";Buch;K2304;VerlegerIn Buch
"9783150114506; 3150114500";Buch;K2304;VerlegerIn Buch
9783150175255;Buch;K2304;VerlegerIn Buch
9783150175262;Buch;K2304;VerlegerIn Buch
9783150180358;Buch;K2304;VerlegerIn Buch
9783150180396;Buch;K2304;VerlegerIn Buch
9783150181126;Buch;K2304;VerlegerIn Buch
9783150182512;Buch;K2304;VerlegerIn Buch
9783150184912;Buch;K2304;VerlegerIn Buch
9783150185230;Buch;K2304;VerlegerIn Buch
9783150185421;Buch;K2304;VerlegerIn Buch
"9783150185421; 3150185424";Buch;K2304;VerlegerIn Buch
9783150186381;Buch;K2304;VerlegerIn Buch
9783150187197;Buch;K2304;VerlegerIn Buch
9783150188217;Buch;K2304;VerlegerIn Buch
9783150191125;Buch;K2304;VerlegerIn Buch
9783150191170;Buch;K2304;VerlegerIn Buch
9783150191194;Buch;K2304;VerlegerIn Buch
"9783150193358; 3150193354";Buch;K2304;VerlegerIn Buch
"9783150196205; 3150196205";Buch;K2304;VerlegerIn Buch
"9783150198247; 3150198240";Buch;K2304;VerlegerIn Buch
9783150200278;Buch;K2304;VerlegerIn Buch
"9783150201404; 3150201403";Buch;K2304;VerlegerIn Buch
9783150202128;Buch;K2304;VerlegerIn Buch
"9783150202548; 315020254X";Buch;K2304;VerlegerIn Buch
"9783150207369; 3150207363";Buch;K2304;VerlegerIn Buch
9783200023895;Buch;K1647;VerlegerIn Buch
9783200026995;Buch;K1000;VerlegerIn Buch
9783200028890;Buch;K3375;VerlegerIn Buch
9783200031326;Buch;K90;VerlegerIn Buch
